zip,state
73301,TX
73344,TX
77001,TX
77002,TX
77003,TX
77004,TX
77005,TX
77006,TX
77007,TX
77008,TX
77009,TX
77010,TX
77011,TX
77012,TX
77013,TX
77014,TX
77015,TX
77016,TX
77017,TX
77018,TX
77019,TX
77020,TX
77021,TX
77022,TX
77023,TX
77024,TX
77025,TX
77026,TX
77027,TX
77028,TX
77029,TX
77030,TX
77031,TX
77032,TX
77033,TX
77034,TX
77035,TX
77036,TX
77037,TX
77038,TX
77039,TX
77040,TX
77041,TX
77042,TX
77043,TX
77044,TX
77045,TX
77046,TX
77047,TX
77048,TX
77049,TX
77050,TX
77051,TX
77052,TX
77053,TX
77054,TX
77055,TX
77056,TX
77057,TX
77058,TX
77059,TX
77060,TX
77061,TX
77062,TX
77063,TX
77064,TX
77065,TX
77066,TX
77067,TX
77068,TX
77069,TX
77070,TX
77071,TX
77072,TX
77073,TX
77074,TX
77075,TX
77076,TX
77077,TX
77078,TX
77079,TX
77080,TX
77081,TX
77082,TX
77083,TX
77084,TX
77085,TX
77086,TX
77087,TX
77088,TX
77089,TX
77090,TX
77091,TX
77092,TX
77093,TX
77094,TX
77095,TX
77096,TX
77098,TX
77099,TX
33101,FL
33109,FL
33122,FL
33125,FL
33126,FL
33127,FL
33128,FL
33129,FL
33130,FL
33131,FL
33132,FL
33133,FL
33134,FL
33135,FL
33136,FL
33137,FL
33138,FL
33139,FL
33140,FL
33141,FL
33142,FL
33143,FL
33144,FL
33145,FL
33146,FL
33147,FL
33149,FL
33150,FL
33154,FL
33155,FL
33156,FL
33157,FL
33158,FL
33160,FL
33161,FL
33162,FL
33165,FL
33166,FL
33167,FL
33168,FL
33169,FL
33170,FL
33172,FL
33173,FL
33174,FL
33175,FL
33176,FL
33177,FL
33178,FL
33179,FL
33180,FL
33181,FL
33182,FL
33183,FL
33184,FL
33185,FL
33186,FL
33187,FL
33189,FL
33190,FL
33193,FL
33194,FL
33196,FL
10001,NY
10002,NY
10003,NY
10004,NY
10005,NY
10006,NY
10007,NY
10009,NY
10010,NY
10011,NY
10012,NY
10013,NY
10014,NY
10016,NY
10017,NY
10018,NY
10019,NY
10020,NY
10021,NY
10022,NY
10023,NY
10024,NY
10025,NY
10026,NY
10027,NY
10028,NY
10029,NY
10030,NY
10031,NY
10032,NY
10033,NY
10034,NY
10035,NY
10036,NY
10037,NY
10038,NY
10039,NY
10040,NY
10044,NY
10065,NY
10069,NY
10075,NY
10128,NY
11201,NY
11203,NY
11204,NY
11205,NY
11206,NY
11207,NY
11208,NY
11209,NY
11210,NY
11211,NY
11212,NY
11213,NY
11214,NY
11215,NY
11216,NY
11217,NY
11218,NY
11219,NY
11220,NY
11221,NY
11222,NY
11223,NY
11224,NY
11225,NY
11226,NY
11228,NY
11229,NY
11230,NY
11231,NY
11232,NY
11233,NY
11234,NY
11235,NY
11236,NY
11237,NY
11238,NY
11239,NY
10451,NY
10452,NY
10453,NY
10454,NY
10455,NY
10456,NY
10457,NY
10458,NY
10459,NY
10460,NY
10461,NY
10462,NY
10463,NY
10464,NY
10465,NY
10466,NY
10467,NY
10468,NY
10469,NY
10470,NY
10471,NY
10472,NY
10473,NY
10474,NY
10475,NY
10301,NY
10302,NY
10303,NY
10304,NY
10305,NY
10306,NY
10307,NY
10308,NY
10309,NY
10310,NY
10312,NY
10314,NY
20001,DC
20002,DC
20003,DC
20004,DC
20005,DC
20006,DC
20007,DC
20008,DC
20009,DC
20010,DC
20011,DC
20012,DC
20015,DC
20016,DC
20017,DC
20018,DC
20019,DC
20020,DC
20024,DC
20032,DC
22301,VA
22302,VA
22304,VA
22305,VA
22306,VA
22307,VA
22308,VA
22309,VA
22310,VA
22311,VA
22312,VA
22314,VA
22003,VA
22015,VA
22030,VA
22031,VA
22032,VA
22033,VA
22039,VA
22041,VA
22042,VA
22043,VA
22044,VA
22046,VA
22060,VA
22101,VA
22102,VA
22124,VA
22150,VA
22151,VA
22152,VA
22153,VA
22180,VA
22181,VA
22182,VA
22201,VA
22202,VA
22203,VA
22204,VA
22205,VA
22206,VA
22207,VA
22209,VA
22213,VA
20105,VA
20120,VA
20121,VA
20124,VA
20151,VA
20152,VA
20155,VA
20158,VA
20164,VA
20165,VA
20166,VA
20170,VA
20171,VA
20175,VA
20176,VA
20190,VA
20191,VA
20194,VA
